Ti,Hi,To,Ho,m1,l,co2
24.2,69.6,22.1,67.2,24.0,994.0,804.0
24.1,70.1,22.0,67.4,29.0,965.0,790.0
23.9,70.4,21.8,63.0,33.0,1001.0,790.0
23.8,71.0,21.5,65.9,34.0,994.0,790.0
23.6,71.4,21.4,65.9,35.0,1002.0,786.0
23.5,71.8,21.3,69.2,38.0,998.0,786.0
23.3,73.0,21.5,69.1,33.0,977.0,790.0
23.3,73.5,21.5,64.6,38.0,1001.0,777.0
23.3,73.4,21.3,66.2,39.0,1000.0,777.0
23.4,72.9,21.3,70.3,42.0,996.0,777.0
23.5,72.6,21.3,69.1,43.0,993.0,786.0
23.6,72.3,21.6,67.8,43.0,997.0,786.0
23.8,70.7,21.8,66.6,43.0,983.0,786.0
23.7,62.6,21.8,65.0,45.0,971.0,759.0
23.4,60.6,21.5,63.0,47.0,984.0,754.0
22.9,61.9,21.1,64.0,48.0,975.0,754.0
22.5,62.6,20.7,64.9,49.0,981.0,754.0
22.2,63.6,20.5,65.8,50.0,984.0,754.0
21.8,64.3,20.3,66.2,50.0,974.0,754.0
21.5,65.0,20.1,66.2,51.0,1015.0,754.0
21.3,65.4,20.0,65.6,51.0,973.0,754.0
21.2,67.7,20.0,66.8,51.0,982.0,754.0
21.1,68.6,19.9,65.4,51.0,961.0,754.0
21.0,69.8,19.9,65.9,51.0,983.0,754.0
21.0,70.5,19.8,66.4,50.0,985.0,754.0
21.0,71.4,19.9,66.9,50.0,986.0,754.0
21.0,71.8,19.8,65.8,50.0,976.0,754.0
21.0,72.2,19.7,66.4,50.0,980.0,754.0
21.0,72.4,19.7,68.9,50.0,985.0,754.0
21.0,72.9,19.8,70.1,50.0,982.0,754.0
21.0,73.0,19.8,67.4,50.0,930.0,754.0
21.0,73.3,19.8,67.6,50.0,965.0,759.0
21.0,73.6,19.8,68.2,51.0,997.0,754.0
21.0,73.9,19.8,67.9,51.0,971.0,754.0
21.1,73.8,19.9,66.5,51.0,979.0,759.0
21.1,74.2,19.8,66.0,51.0,979.0,759.0
21.1,74.1,19.7,66.6,52.0,981.0,759.0
21.1,74.1,19.7,67.8,51.0,992.0,759.0
21.2,73.9,19.8,69.4,51.0,979.0,759.0
21.2,74.1,19.8,66.3,51.0,997.0,759.0
21.2,73.9,19.7,66.6,51.0,979.0,763.0
21.3,73.4,19.7,66.3,51.0,996.0,763.0
21.3,73.4,19.7,67.5,50.0,961.0,763.0
21.4,73.2,19.8,66.2,50.0,981.0,763.0
21.4,72.8,19.9,69.2,50.0,983.0,763.0
21.5,72.6,20.0,66.0,50.0,983.0,763.0
21.6,72.2,20.0,65.4,49.0,977.0,763.0
21.6,71.7,19.9,66.1,49.0,975.0,768.0
21.7,71.5,19.9,66.4,49.0,978.0,768.0
21.8,71.5,20.1,67.6,49.0,976.0,768.0
21.8,71.6,20.1,66.2,49.0,994.0,768.0
21.8,71.3,20.1,66.5,49.0,982.0,772.0
21.9,71.4,20.1,67.1,49.0,979.0,772.0
21.9,71.4,20.3,70.0,49.0,979.0,772.0
21.9,71.3,20.4,65.5,50.0,979.0,772.0
22.0,70.8,20.4,69.8,49.0,973.0,772.0
22.0,70.9,20.3,66.1,49.0,991.0,772.0
22.1,71.0,20.3,64.6,49.0,983.0,772.0
22.1,70.9,20.2,65.3,50.0,988.0,772.0
22.1,70.6,20.1,64.6,49.0,977.0,772.0
22.1,70.3,20.0,65.0,50.0,958.0,772.0
